customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment,churn_next_60d,snapshot_date,sessions_30d,product_views_30d,cart_adds_30d,wishlist_adds_30d,abandoned_carts_30d,email_opens_30d,campaign_clicks_30d,last_visit_days_ago,sentiment_score,reopened,resolution_hours,Retention_Priority,churn_flag,retention_value,expected_net_value
CUST00001,107,6,2955.57,2,5,4,254,Loyal Customers,1,2025-09-30,1,4,0,0,0,2,0,20,0.14,0.0,4.35,Regular Engagement,1,2955.57,2805.57
CUST00002,40,1,581.0,4,1,1,411,Recent Customers,0,2025-09-30,8,31,4,2,3,0,0,0,0.0,0.0,1.0,Onboarding & Nurture,0,0.0,-150.0
CUST00003,171,1,649.98,1,1,1,111,At Risk,1,2025-09-30,1,3,0,0,0,0,0,26,,,,Win-Back Campaign,1,649.98,499.98
CUST00004,131,1,1604.04,2,1,3,213,At Risk,1,2025-09-30,1,6,0,0,0,0,0,14,,,,Win-Back Campaign,1,1604.04,1454.04
CUST00005,38,4,2550.91,4,3,4,434,Regular Customers,0,2025-09-30,18,95,4,1,1,3,1,9,-1.0,0.0,37.7,Regular Engagement,0,0.0,-150.0
CUST00006,51,5,3770.16,3,4,4,344,Loyal Customers,0,2025-09-30,2,8,1,0,1,0,0,1,-0.68,1.0,17.6,Regular Engagement,0,0.0,-150.0
CUST00007,3,1,719.33,5,1,1,511,Recent Customers,0,2025-09-30,11,61,3,2,2,10,3,12,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00008,47,4,2747.33,3,3,4,334,Regular Customers,0,2025-09-30,2,11,1,0,0,0,0,16,0.08,0.0,6.0,Regular Engagement,0,0.0,-150.0
CUST00009,31,1,376.85,4,1,1,411,Recent Customers,0,2025-09-30,11,57,3,3,2,0,0,6,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00010,9,1,636.8,5,1,1,511,Recent Customers,0,2025-09-30,13,71,3,3,2,6,0,5,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00011,1,2,925.0699999999999,5,2,2,522,Recent Customers,0,2025-09-30,10,34,2,1,0,0,0,0,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00012,50,2,2051.63,3,2,3,323,Regular Customers,1,2025-09-30,3,16,1,1,0,0,0,5,-0.12,0.0,18.7,Regular Engagement,1,2051.63,1901.63
CUST00013,61,3,1754.44,3,3,3,333,Regular Customers,0,2025-09-30,4,22,1,0,0,2,0,21,-1.0,0.0,74.6,Regular Engagement,0,0.0,-150.0
CUST00014,51,11,8130.16,3,5,5,355,Loyal Customers,0,2025-09-30,11,57,3,2,2,0,0,17,-0.245,0.0,8.25,Regular Engagement,0,0.0,-150.0
CUST00015,35,4,4200.93,4,3,5,435,Big Spenders,0,2025-09-30,6,23,2,0,1,0,0,11,,,,Regular Engagement,0,0.0,-150.0
CUST00016,215,1,478.02,1,1,1,111,At Risk,1,2025-09-30,2,8,1,0,0,4,1,32,0.37,0.0,6.4,Win-Back Campaign,1,478.02,328.02
CUST00017,286,3,1699.1399999999999,1,3,3,133,Regular Customers,1,2025-09-30,4,23,1,1,0,9,4,47,,,,Regular Engagement,1,1699.1399999999999,1549.1399999999999
CUST00018,111,1,329.21,2,1,1,211,At Risk,1,2025-09-30,3,8,1,0,0,4,2,37,,,,Win-Back Campaign,1,329.21,179.20999999999998
CUST00019,9,2,1598.93,5,2,3,523,Recent Customers,0,2025-09-30,5,27,2,0,1,3,1,0,,,,Onboarding & Nurture,0,0.0,-150.0
