customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
CUST00001,107,6,2955.57,2,5,4,254,Loyal Customers
CUST00002,40,1,581.0,4,1,1,411,Recent Customers
CUST00003,171,1,649.98,1,1,1,111,At Risk
CUST00004,131,1,1604.04,2,1,3,213,At Risk
CUST00005,38,4,2550.91,4,3,4,434,Regular Customers
CUST00006,51,5,3770.16,3,4,4,344,Loyal Customers
CUST00007,3,1,719.33,5,1,1,511,Recent Customers
CUST00008,47,4,2747.33,3,3,4,334,Regular Customers
CUST00009,31,1,376.85,4,1,1,411,Recent Customers
CUST00010,9,1,636.8,5,1,1,511,Recent Customers
CUST00011,1,2,925.0699999999999,5,2,2,522,Recent Customers
CUST00012,50,2,2051.63,3,2,3,323,Regular Customers
CUST00013,61,3,1754.44,3,3,3,333,Regular Customers
CUST00014,51,11,8130.16,3,5,5,355,Loyal Customers
CUST00015,35,4,4200.93,4,3,5,435,Big Spenders
CUST00016,215,1,478.02,1,1,1,111,At Risk
CUST00017,286,3,1699.1399999999999,1,3,3,133,Regular Customers
CUST00018,111,1,329.21,2,1,1,211,At Risk
CUST00019,9,2,1598.93,5,2,3,523,Recent Customers
CUST00020,368,3,4120.680799999998,1,3,5,135,Big Spenders
CUST00021,77,2,1059.3,3,2,2,322,Regular Customers
CUST00022,29,1,454.06,4,1,1,411,Recent Customers
CUST00023,21,1,400.98,4,1,1,411,Recent Customers
CUST00024,4,1,481.35,5,1,1,511,Recent Customers
CUST00025,165,7,4868.86,1,5,5,155,Loyal Customers
CUST00026,72,3,3561.3900000000003,3,3,4,334,Regular Customers
CUST00027,70,1,2128.34,3,1,3,313,Regular Customers
CUST00028,83,2,1489.7800000000002,3,2,2,322,Regular Customers
CUST00029,18,8,5252.9,5,5,5,555,Champions
CUST00030,5,6,3435.5899999999997,5,5,4,554,Champions
CUST00031,49,1,672.95,3,1,1,311,Regular Customers
CUST00032,33,3,1948.75,4,3,3,433,Regular Customers
CUST00033,12,4,2128.09,5,3,3,533,Regular Customers
CUST00034,50,6,3353.01,3,5,4,354,Loyal Customers
CUST00035,127,3,1369.71,2,3,2,232,Regular Customers
CUST00036,27,4,1737.33,4,3,3,433,Regular Customers
CUST00037,102,1,435.83,2,1,1,211,At Risk
CUST00038,51,4,2104.61,3,3,3,333,Regular Customers
CUST00039,15,3,1598.49,5,3,3,533,Regular Customers
CUST00040,154,1,634.73,1,1,1,111,At Risk
CUST00041,54,4,1911.8600000000001,3,3,3,333,Regular Customers
CUST00042,87,9,7523.74,2,5,5,255,Loyal Customers
CUST00043,24,1,363.01,4,1,1,411,Recent Customers
CUST00044,72,3,2724.09,3,3,4,334,Regular Customers
CUST00045,96,1,413.75,2,1,1,211,At Risk
CUST00046,127,1,489.87,2,1,1,211,At Risk
CUST00047,204,1,764.43,1,1,1,111,At Risk
CUST00048,61,4,2450.45,3,3,3,333,Regular Customers
CUST00049,8,1,380.83,5,1,1,511,Recent Customers
CUST00050,0,3,2466.39,5,3,3,533,Regular Customers
CUST00051,210,4,4444.3,1,3,5,135,Big Spenders
CUST00052,55,3,2807.14,3,3,4,334,Regular Customers
CUST00053,25,4,4192.59,4,3,5,435,Big Spenders
CUST00054,6,1,489.85,5,1,1,511,Recent Customers
CUST00055,3,3,1308.35,5,3,2,532,Regular Customers
CUST00056,9,4,3530.41,5,3,4,534,Regular Customers
CUST00057,136,2,2510.83,2,2,3,223,At Risk
CUST00058,42,4,2451.54,4,3,3,433,Regular Customers
CUST00059,2,3,2852.63,5,3,4,534,Regular Customers
CUST00060,145,1,293.22,2,1,1,211,At Risk
CUST00061,14,4,1966.0900000000001,5,3,3,533,Regular Customers
CUST00062,21,4,2805.19,4,3,4,434,Regular Customers
CUST00063,216,1,397.69,1,1,1,111,At Risk
CUST00064,2,1,654.93,5,1,1,511,Recent Customers
CUST00065,6,1,1911.67,5,1,3,513,Recent Customers
CUST00066,320,5,4494.590799999998,1,4,5,145,Loyal Customers
CUST00067,63,2,1246.44,3,2,2,322,Regular Customers
CUST00068,346,3,2123.66,1,3,3,133,Regular Customers
CUST00069,29,2,874.47,4,2,2,422,Recent Customers
CUST00070,38,1,542.98,4,1,1,411,Recent Customers
